Cell ID,EPCAM
DTC2_619887,2.18
DTC2_780246,2.42
DTC2_246611,2.29
DTC2_29056,2.42
DTC2_390780,2.3
DTC2_289956,1.42
DTC2_600225,4.18
DTC2_682352,3.42
DTC2_447720,2.53
DTC2_506043,0.84
DTC2_491460,2.08
DTC2_449758,0
DTC2_591342,2.22
DTC2_77129,3.45
DTC2_609269,1.02
DTC2_779888,1.01
DTC2_118976,0
DTC2_38654,0.95
DTC2_40142,2.67
DTC2_356944,6.07
DTC2_620230,2.57
DTC2_719921,2.27
DTC2_106612,2.36
DTC2_495326,1.55
DTC2_847789,1.06
DTC2_257267,3.45
DTC2_585486,2.06
DTC2_229139,2.42
DTC2_801820,0.76
DTC2_101466,1.8
DTC2_92919,3.96
DTC2_603372,2.66
DTC2_650324,1.81
DTC2_81687,2.78
DTC2_185897,2.73
DTC2_33973,4.87
DTC2_813640,1.68
DTC2_351880,1.32
DTC2_518543,1.41
DTC2_112840,2.84
DTC2_464776,2.5
DTC2_719918,2.37
DTC2_257412,2.8
DTC2_517616,2.4
DTC2_861658,0.85
DTC2_522074,1.14
DTC2_582900,0
DTC2_440945,3.28
DTC2_337889,2.81
DTC2_239285,2.78
DTC2_479483,1.13
DTC2_587611,0.18
DTC2_294640,1.57
DTC2_432105,2.21
DTC2_62391,1.44
DTC2_628056,2.57
DTC2_190428,3.28
DTC2_77931,1.74
DTC2_839681,3.53
DTC2_727665,0.25
DTC2_431764,2.88
DTC2_753174,2.34
DTC2_846404,1.26
DTC2_159171,1.79
DTC2_453151,0
DTC2_181670,2.96
DTC2_819784,2.96
DTC2_813500,1.88
DTC2_657318,1.41
DTC2_415640,2.36
DTC2_625373,1.24
DTC2_234838,2.39
DTC2_732251,0
DTC2_721019,2.97
DTC2_773202,2.38
DTC2_697784,1.46
DTC2_579890,3.23
DTC2_556504,0
DTC2_309364,1.93
DTC2_728594,2.82
DTC2_329713,1.45
DTC2_636256,2.32
DTC2_190037,3.75
DTC2_64444,2.39
DTC2_247733,2.01
DTC2_107167,2.5
DTC2_685019,2.06
DTC2_84695,0
DTC2_541625,2.38
DTC2_103215,1.23
DTC2_689798,2.22
DTC2_477541,2.37
DTC2_74960,1.1
DTC2_487905,1.03
DTC2_131045,1.25
DTC2_28112,1.11
DTC2_136787,1.93
DTC2_25902,0.82
DTC2_444905,0.23
DTC2_649168,2.52
DTC2_787211,2.51
DTC2_240351,3.75
DTC2_447255,2.96
DTC2_204153,1.51
DTC2_216816,1.51
DTC2_706685,1.88
DTC2_242120,1.3
DTC2_478733,2.43
DTC2_594805,1.93
DTC2_854568,0
DTC2_277244,2.28
DTC2_604642,2.53
DTC2_630426,3.21
DTC2_302701,1.96
DTC2_33218,1.91
DTC2_58551,3.27
DTC2_71271,5.89
DTC2_607391,4.74
DTC2_538963,3
DTC2_442648,2.21
DTC2_773075,0
DTC2_610060,3.42
DTC2_832703,1.83
DTC2_745355,1.56
DTC2_626032,1.53
DTC2_488880,1.43
DTC2_702149,2.84
DTC2_622917,1.81
DTC2_801566,1.6
DTC2_273863,1.16
DTC2_425641,1.87
DTC2_187520,2.58
DTC2_117050,2.6
DTC2_618252,1.57
DTC2_753643,2.31
DTC2_713662,1.81
DTC2_238062,1.44
DTC2_130098,0.24
DTC2_645698,1.26
DTC2_2408,0
DTC2_659516,2.14
DTC2_368441,2.99
DTC2_439666,3.24
DTC2_417592,2.85
DTC2_809536,1.21
DTC2_246648,3.42
DTC2_100689,1.61
DTC2_104638,4.4
DTC2_755131,1.61
DTC2_96332,2.51
DTC2_739996,2.15
DTC2_271112,0.93
DTC2_91336,3.1
DTC2_623699,1.74
DTC2_127256,2.16
DTC2_203873,0
DTC2_135356,1.11
DTC2_170019,1.83
DTC2_346450,1.81
DTC2_185214,0
DTC2_483198,0
DTC2_127299,2.89
DTC2_282946,2.09
DTC2_791252,2.93
DTC2_560706,2.08
DTC2_715701,0
DTC2_651327,1.55
DTC2_378873,0.81
DTC2_192947,2.45
DTC2_220709,1.77
DTC2_712093,3.12
DTC2_398218,1.56
DTC2_753016,2.3
DTC2_288233,1.93
DTC2_125262,1.73
DTC2_662813,1.45
DTC2_89837,1.63
DTC2_64669,2.11
DTC2_302637,1.07
DTC2_214041,1.44
DTC2_802098,1.1
DTC2_616564,2.92
DTC2_515861,3.2
DTC2_663011,0.91
DTC2_256252,1.95
DTC2_76361,4.31
DTC2_606307,0
DTC2_579842,2.26
DTC2_651329,1.73
DTC2_232326,2.1
DTC2_748405,1.94
DTC2_830630,2.74
DTC2_102763,1.53
DTC2_243951,2.31
DTC2_783548,3.65
DTC2_327220,2.94
DTC2_513653,2.92
DTC2_509542,4.62
DTC2_476040,1.48
DTC2_516528,3.01
DTC2_269114,5.6
DTC2_812207,1.88
DTC2_159122,3.93
DTC2_39905,0.36
DTC2_322908,3.64
DTC2_673354,2.07
DTC2_769499,2.49
DTC2_754479,1.08
DTC2_156343,0
DTC2_489713,5.01
DTC2_217424,2.43
DTC2_12075,2.82
DTC2_653338,2.6
DTC2_131672,0
DTC2_164386,3.07
DTC2_140177,1.71
DTC2_575945,2.47
DTC2_237478,2.92
DTC2_40374,3.98
DTC2_441248,1.84
DTC2_784710,2.05
DTC2_525722,4.29
DTC2_372361,0
DTC2_286588,4.09
DTC2_128266,1.77
DTC2_850448,4.23
